DATETIME,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,WINDSPEED,POWER
2/1/2021 00:00:00,5,4.2,59,1023,4.3,3896
2/1/2021 00:15:00,5,4.2,59,1023,4.5,4715
2/1/2021 00:30:00,5,4.2,58,1023,4.3,5929
2/1/2021 00:45:00,4,4.1,57,1022,3.6,5668
2/1/2021 01:00:00,4,4.1,56,1022,3.4,5125
2/1/2021 01:15:00,4,4.1,56,1022,3.4,5432
2/1/2021 01:30:00,4,4,55,1022,2.9,4158
2/1/2021 01:45:00,4,3.9,55,1022,3.1,3533
2/1/2021 02:00:00,4,3.8,54,1022,3.1,3009
2/1/2021 02:15:00,5,3.8,54,1022,3,3439
2/1/2021 02:30:00,7,3.7,54,1022,3.1,3249
2/1/2021 02:45:00,8,3.6,54,1022,3.1,2814
2/1/2021 03:00:00,9,3.5,54,1022,2.9,2018
2/1/2021 03:15:00,11,3.5,54,1022,2.9,2346
2/1/2021 03:30:00,12,3.5,53,1022,3.7,3570
2/1/2021 03:45:00,13,3.4,53,1022,4,4905
2/1/2021 04:00:00,14,3.4,52,1022,4.7,5643
2/1/2021 04:15:00,16,3.4,52,1022,5.9,10574
2/1/2021 04:30:00,16,3.4,51,1022,6.9,16612
2/1/2021 04:45:00,17,3.4,51,1022,7.3,19927
2/1/2021 05:00:00,18,3.4,50,1022,7.4,21359
2/1/2021 05:15:00,18,3.4,50,1022,7.5,24302
2/1/2021 05:30:00,19,3.5,49,1022,7.3,20828
2/1/2021 05:45:00,19,3.6,48,1022,7.5,24491
2/1/2021 06:00:00,20,3.7,47,1022,7.6,22605
2/1/2021 06:15:00,20,3.7,47,1022,7.7,23543
2/1/2021 06:30:00,21,3.8,46,1022,8,25026
2/1/2021 06:45:00,21,3.9,46,1022,7.3,21234
2/1/2021 07:00:00,21,4,45,1022,7.8,22974
2/1/2021 07:15:00,20,4.3,44,1022,7.6,25679
2/1/2021 07:30:00,19,4.8,43,1022,7.4,20422
2/1/2021 07:45:00,18,5.4,41,1022,7.2,21501
2/1/2021 08:00:00,17,5.9,40,1022,7.4,23883
2/1/2021 08:15:00,17,6.5,39,1022,7.5,23239
2/1/2021 08:30:00,17,7,38,1022,7.8,24824
2/1/2021 08:45:00,18,7.6,38,1023,7.8,22503
2/1/2021 09:00:00,18,8.1,37,1023,8.4,26801
