id,start_datetime,end_datetime,run_length,avg_cell_value,tags,Unnamed: 6
0,2010年11月1日,2010年11月1日,164,4.91796875,rain snow,1.0
1,2010年11月1日,2010年11月1日,122,3.693359375,rain snow,1.0
2,2010年11月2日,2010年11月2日,201,4.234375,rain snow,1.0
3,2010年11月7日,2010年11月7日,249,1.251953125,rain snow,1.0
4,2010年11月7日,2010年11月7日,37,2.078125,rain snow,1.0
5,2010年11月8日,2010年11月8日,275,2.234375,rain snow,1.0
6,2010年11月9日,2010年11月9日,79,2.7578125,rain snow,1.0
7,2010年11月9日,2010年11月9日,192,0.721191406,rain snow,1.0
8,2010年11月15日,2010年11月15日,243,1.390625,rain snow,
9,2010年11月15日,2010年11月15日,43,4.828125,rain snow,
10,2010年11月16日,2010年11月16日,255,5.5390625,rain snow,1.0
11,2010年11月16日,2010年11月16日,31,2.267578125,rain snow,1.0
12,2010年11月18日,2010年11月18日,25,0.993652344,rain snow,
13,2010年11月18日,2010年11月18日,261,1.309570313,rain snow,
14,2010年11月19日,2010年11月19日,288,1.127929688,rain,1.0
15,2010年11月21日,2010年11月21日,78,1.263671875,rain snow,
16,2010年11月21日,2010年11月21日,185,5.5703125,rain snow,
17,2010年11月22日,2010年11月22日,54,4.09765625,rain snow,1.0
18,2010年11月26日,2010年11月26日,288,1.64453125,rain snow,1.0
19,2010年11月27日,2010年11月27日,70,1.404296875,snow,
20,2010年11月28日,2010年11月28日,55,1.668945313,rain snow,
21,2010年11月28日,2010年11月28日,231,2.462890625,rain snow,
22,2010年11月29日,2010年11月29日,288,0.516113281,rain snow,
23,2010年11月30日,2010年11月30日,288,1.201171875,snow,
24,2010年12月1日,2010年12月1日,261,4.44921875,rain snow,
25,2010年12月1日,2010年12月1日,25,0.979980469,rain snow,
26,2010年12月2日,2010年12月2日,182,0.700195313,rain downpour snow,
27,2010年12月3日,2010年12月3日,95,0.678710938,rain snow,
28,2010年12月3日,2010年12月3日,164,0.506835938,rain snow,
29,2010年12月4日,2010年12月4日,44,1.637695313,rain snow,
30,2010年12月5日,2010年12月5日,194,0.989746094,snow,
31,2010年12月6日,2010年12月6日,69,0.684570313,snow,
32,2010年12月6日,2010年12月6日,74,1.8984375,snow,
33,2010年12月6日,2010年12月6日,141,2.0703125,snow,
34,2010年12月7日,2010年12月7日,249,0.502929688,rain snow,
35,2010年12月7日,2010年12月7日,37,1.177734375,rain snow,
36,2010年12月8日,2010年12月8日,189,1.122070313,rain snow,
37,2010年12月9日,2010年12月9日,90,0.986328125,rain,
38,2010年12月10日,2010年12月10日,124,0.830566406,snow,
39,2010年12月10日,2010年12月10日,107,0.586914063,snow,
40,2010年12月11日,2010年12月11日,103,1.720703125,,
41,2010年12月21日,2010年12月21日,142,1.391601563,rain snow,
42,2010年12月22日,2010年12月22日,42,3.146484375,rain snow,
43,2010年12月22日,2010年12月22日,219,1.639648438,rain snow,
44,2010年12月23日,2010年12月23日,31,1.758789063,rain snow,
45,2010年12月23日,2010年12月23日,255,4.2265625,rain snow,
46,2010年12月24日,2010年12月24日,288,2.115234375,rain,1.0
47,2010年12月25日,2010年12月25日,288,1.439453125,rain snow,
48,2011年1月10日,2011年1月10日,288,1.383789063,rain snow,
49,2011年1月11日,2011年1月11日,200,0.591796875,rain,
50,2011年1月13日,2011年1月13日,120,1.61328125,,
