id,start_datetime,end_datetime,run_length,avg_cell_value,tags,Unnamed: 6
5,2010年11月8日,2010年11月8日,275,2.234375,rain snow,1.0
116,2011年6月18日,2011年6月18日,288,2.505859375,storm downpour,1.0
45,2010年12月23日,2010年12月23日,255,4.2265625,rain snow,
16,2010年11月21日,2010年11月21日,185,5.5703125,rain snow,
462,2013年10月12日,2013年10月12日,288,1.680664063,rain snow,
357,2013年3月17日,2013年3月17日,250,1.0234375,rain snow,
3,2010年11月7日,2010年11月7日,249,1.251953125,rain snow,1.0
218,2012年4月11日,2012年4月11日,100,2.244140625,rain snow,1.0
405,2013年6月20日,2013年6月20日,287,0.827148438,storm,
60,2011年2月28日,2011年2月28日,159,0.50390625,rain,
110,2011年6月11日,2011年6月11日,288,1.977539063,rain,1.0
318,2012年9月4日,2012年9月4日,31,2.8125,rain downpour,
428,2013年7月26日,2013年7月26日,162,1.290039063,storm,
29,2010年12月4日,2010年12月4日,44,1.637695313,rain snow,
437,2013年8月19日,2013年8月19日,288,2.259765625,storm downpour,
471,2013年11月10日,2013年11月10日,288,0.507324219,rain snow,
26,2010年12月2日,2010年12月2日,182,0.700195313,rain downpour snow,
7,2010年11月9日,2010年11月9日,192,0.721191406,rain snow,1.0
453,2013年10月5日,2013年10月5日,288,1.026367188,rain,
108,2011年6月9日,2011年6月9日,179,1.87890625,rain downpour,
37,2010年12月9日,2010年12月9日,90,0.986328125,rain,
157,2011年9月2日,2011年9月2日,75,0.645996094,storm downpour,
489,2014年1月27日,2014年1月27日,288,1.310546875,rain snow,
118,2011年6月23日,2011年6月23日,162,2.560546875,storm downpour,1.0
114,2011年6月17日,2011年6月17日,83,0.639648438,storm downpour,
175,2011年10月20日,2011年10月20日,255,1.592773438,rain snow,1.0
373,2013年4月28日,2013年4月28日,288,0.719238281,downpour,
181,2011年10月26日,2011年10月26日,43,4.13671875,rain,
144,2011年7月30日,2011年7月30日,125,0.947753906,downpour,
369,2013年4月22日,2013年4月22日,85,1.067382813,downpour,
390,2013年5月17日,2013年5月17日,39,4.70703125,rain downpour,
195,2011年12月3日,2011年12月3日,204,0.544433594,rain snow,
404,2013年6月18日,2013年6月18日,287,0.625,hail storm,
275,2012年7月14日,2012年7月14日,66,0.71484375,storm downpour,
454,2013年10月6日,2013年10月6日,288,1.008789063,rain,
141,2011年7月24日,2011年7月24日,288,1.80078125,rain,1.0
365,2013年3月31日,2013年3月31日,263,1.205078125,downpour snow,
67,2011年3月19日,2011年3月19日,248,0.649414063,rain,
210,2012年3月5日,2012年3月5日,47,2.640625,rain snow,
168,2011年10月6日,2011年10月6日,141,1.629882813,,
493,2014年2月2日,2014年2月2日,101,2.009765625,rain snow,
375,2013年4月30日,2013年4月30日,288,0.939453125,rain,
400,2013年6月6日,2013年6月6日,287,0.734863281,downpour,
272,2012年7月13日,2012年7月13日,48,0.572265625,storm downpour,
109,2011年6月10日,2011年6月10日,288,0.835449219,storm downpour,
248,2012年6月12日,2012年6月12日,91,2.91796875,storm downpour,
145,2011年7月31日,2011年7月31日,288,0.534667969,storm downpour,
92,2011年5月27日,2011年5月27日,288,5.80859375,hail storm snow,1.0
152,2011年8月8日,2011年8月8日,288,1.749023438,rain,1.0
367,2013年4月20日,2013年4月20日,288,3.41796875,rain,
467,2013年11月3日,2013年11月3日,288,1.45703125,downpour,
83,2011年5月2日,2011年5月2日,36,2.00390625,downpour,
245,2012年6月10日,2012年6月10日,288,2.068359375,storm downpour,1.0
165,2011年9月18日,2011年9月18日,54,3.283203125,rain snow,1.0
163,2011年9月17日,2011年9月17日,81,0.828125,storm downpour,
199,2011年12月12日,2011年12月12日,148,2.259765625,rain snow,1.0
228,2012年5月5日,2012年5月5日,288,1.216796875,downpour,1.0
74,2011年4月24日,2011年4月24日,288,1.430664063,storm downpour,
478,2013年11月22日,2013年11月22日,288,0.510253906,rain snow,
358,2013年3月18日,2013年3月18日,288,4.12890625,rain snow,
250,2012年6月13日,2012年6月13日,288,1.409179688,storm downpour,1.0
119,2011年6月23日,2011年6月23日,125,1.374023438,storm downpour,1.0
310,2012年8月9日,2012年8月9日,71,1.586914063,downpour,
299,2012年8月1日,2012年8月1日,39,0.626953125,downpour,
255,2012年6月21日,2012年6月21日,194,1.788085938,storm downpour,1.0
354,2013年3月11日,2013年3月11日,125,0.723144531,rain,
399,2013年6月5日,2013年6月5日,287,0.834472656,downpour,
225,2012年4月22日,2012年4月22日,33,2.009765625,downpour snow,
353,2013年3月9日,2013年3月9日,38,1.9140625,rain,
234,2012年5月20日,2012年5月20日,288,2.0859375,rain,1.0
382,2013年5月7日,2013年5月7日,166,1.140625,downpour,
274,2012年7月13日,2012年7月13日,157,1.922851563,storm downpour,
36,2010年12月8日,2010年12月8日,189,1.122070313,rain snow,
196,2011年12月7日,2011年12月7日,39,0.706054688,snow,
139,2011年7月22日,2011年7月22日,288,0.521972656,downpour,
364,2013年3月30日,2013年3月30日,288,2.623046875,rain snow,
244,2012年6月9日,2012年6月9日,288,2.12109375,storm downpour,1.0
439,2013年8月24日,2013年8月24日,288,1.931640625,rain storm,
286,2012年7月28日,2012年7月28日,27,0.706542969,storm downpour,
59,2011年2月28日,2011年2月28日,126,1.360351563,rain,
111,2011年6月13日,2011年6月13日,288,1.353515625,downpour,
89,2011年5月21日,2011年5月21日,288,1.15625,storm downpour,
436,2013年8月14日,2013年8月14日,288,1.252929688,storm downpour,
6,2010年11月9日,2010年11月9日,79,2.7578125,rain snow,1.0
360,2013年3月24日,2013年3月24日,204,1.3203125,rain snow,
346,2013年2月24日,2013年2月24日,28,1.51171875,rain snow,
338,2012年11月29日,2012年11月29日,288,0.858886719,rain snow,
158,2011年9月3日,2011年9月3日,253,0.653320313,rain,
150,2011年8月7日,2011年8月7日,117,1.044921875,rain,
177,2011年10月25日,2011年10月25日,32,2.89453125,rain,
393,2013年5月20日,2013年5月20日,287,1.024414063,downpour,
184,2011年11月4日,2011年11月4日,55,1.078125,rain snow,
449,2013年9月16日,2013年9月16日,288,0.927246094,storm downpour,
10,2010年11月16日,2010年11月16日,255,5.5390625,rain snow,1.0
380,2013年5月6日,2013年5月6日,95,0.931640625,downpour,
103,2011年6月6日,2011年6月6日,102,3.595703125,storm downpour,1.0
81,2011年4月29日,2011年4月29日,83,1.188476563,downpour,
38,2010年12月10日,2010年12月10日,124,0.830566406,snow,
314,2012年8月16日,2012年8月16日,56,1.477539063,storm downpour,
167,2011年9月19日,2011年9月19日,288,3.890625,rain snow,1.0
469,2013年11月6日,2013年11月6日,288,2.0703125,rain snow,
296,2012年7月30日,2012年7月30日,34,1.959960938,storm downpour,
474,2013年11月15日,2013年11月15日,176,1.248046875,rain snow,
198,2011年12月7日,2011年12月7日,42,1.322265625,snow,
297,2012年7月31日,2012年7月31日,31,0.6015625,storm downpour,
416,2013年7月8日,2013年7月8日,135,1.569335938,storm downpour,
146,2011年8月1日,2011年8月1日,127,0.904785156,storm downpour,
392,2013年5月19日,2013年5月19日,195,1.708984375,rain,
147,2011年8月3日,2011年8月3日,288,1.916992188,hail storm,1.0
447,2013年9月10日,2013年9月10日,117,3.23046875,rain storm,
287,2012年7月28日,2012年7月28日,25,3.990234375,storm downpour,
123,2011年7月1日,2011年7月1日,288,0.519042969,downpour,
368,2013年4月21日,2013年4月21日,288,2.162109375,rain,
96,2011年6月3日,2011年6月3日,181,0.87890625,rain,
143,2011年7月28日,2011年7月28日,288,1.125976563,hail storm downpour,
239,2012年5月27日,2012年5月27日,288,0.889648438,downpour,
442,2013年8月27日,2013年8月27日,288,1.453125,downpour,
97,2011年6月3日,2011年6月3日,106,1.493164063,rain,
407,2013年6月23日,2013年6月23日,287,1.458984375,storm downpour,
122,2011年6月30日,2011年6月30日,288,1.544921875,rain downpour,1.0
183,2011年11月4日,2011年11月4日,59,1.346679688,rain snow,
202,2012年1月5日,2012年1月5日,288,1.27734375,rain,1.0
246,2012年6月11日,2012年6月11日,91,0.845703125,storm downpour,
305,2012年8月4日,2012年8月4日,223,1.357421875,storm downpour,
298,2012年7月31日,2012年7月31日,126,1.259765625,storm downpour,
351,2013年3月9日,2013年3月9日,71,0.588867188,rain,
386,2013年5月12日,2013年5月12日,288,0.785644531,downpour,
395,2013年5月24日,2013年5月24日,187,2.615234375,rain,
284,2012年7月25日,2012年7月25日,30,2.7890625,storm downpour,
125,2011年7月6日,2011年7月6日,107,0.889160156,downpour,
302,2012年8月3日,2012年8月3日,37,1.533203125,storm downpour,
223,2012年4月19日,2012年4月19日,42,0.662109375,rain,
418,2013年7月10日,2013年7月10日,287,1.004882813,rain storm downpour,
219,2012年4月14日,2012年4月14日,288,0.547363281,rain,
129,2011年7月13日,2011年7月13日,173,1.9375,storm downpour,1.0
420,2013年7月17日,2013年7月17日,177,1.158203125,storm,
289,2012年7月28日,2012年7月28日,71,2.240234375,storm downpour,
444,2013年9月1日,2013年9月1日,288,0.783691406,downpour,
376,2013年5月1日,2013年5月1日,288,1.138671875,storm downpour,
291,2012年7月29日,2012年7月29日,41,2.1796875,storm downpour,
355,2013年3月12日,2013年3月12日,84,0.621582031,rain,
294,2012年7月30日,2012年7月30日,49,1.298828125,storm downpour,
396,2013年5月29日,2013年5月29日,287,1.20703125,rain downpour,
340,2013年2月2日,2013年2月2日,34,1.796875,rain snow,
112,2011年6月16日,2011年6月16日,148,1.524414063,storm downpour,1.0
179,2011年10月25日,2011年10月25日,91,5.5859375,rain,
307,2012年8月5日,2012年8月5日,45,0.691894531,storm downpour,
432,2013年8月4日,2013年8月4日,288,0.74609375,storm downpour,
487,2014年1月20日,2014年1月20日,81,0.569335938,rain snow,
481,2013年12月25日,2013年12月25日,288,3.5390625,rain snow,
422,2013年7月18日,2013年7月18日,108,2.33984375,hail storm,
233,2012年5月16日,2012年5月16日,288,1.185546875,rain,1.0
311,2012年8月10日,2012年8月10日,74,1.204101563,,
164,2011年9月17日,2011年9月17日,98,4.62890625,storm downpour,
136,2011年7月19日,2011年7月19日,288,1.231445313,rain,1.0
197,2011年12月7日,2011年12月7日,48,2.01171875,snow,
258,2012年6月23日,2012年6月23日,288,1.725585938,storm,1.0
232,2012年5月15日,2012年5月15日,288,1.14453125,rain storm downpour snow,
115,2011年6月17日,2011年6月17日,61,1.572265625,storm downpour,
120,2011年6月29日,2011年6月29日,31,1.694335938,storm downpour,
349,2013年3月7日,2013年3月7日,35,0.6328125,rain,
224,2012年4月20日,2012年4月20日,31,1.041992188,rain,
402,2013年6月8日,2013年6月8日,287,0.765625,hail storm,
397,2013年5月31日,2013年5月31日,287,1.153320313,,
127,2011年7月7日,2011年7月7日,32,1.521484375,rain storm downpour,1.0
285,2012年7月27日,2012年7月27日,61,1.747070313,storm downpour,
411,2013年6月27日,2013年6月27日,221,1.821289063,downpour,
107,2011年6月9日,2011年6月9日,108,0.80078125,rain downpour,
370,2013年4月22日,2013年4月22日,202,1.265625,downpour,
325,2012年11月1日,2012年11月1日,93,0.812988281,rain,
133,2011年7月17日,2011年7月17日,288,1.255859375,rain downpour,1.0
452,2013年9月30日,2013年9月30日,288,1.590820313,rain,
44,2010年12月23日,2010年12月23日,31,1.758789063,rain snow,
460,2013年10月11日,2013年10月11日,69,4.1328125,rain snow,
65,2011年3月17日,2011年3月17日,119,2.240234375,rain snow,
283,2012年7月25日,2012年7月25日,50,1.705078125,storm downpour,
85,2011年5月12日,2011年5月12日,230,1.344726563,downpour,
242,2012年6月4日,2012年6月4日,288,3.048828125,rain,1.0
186,2011年11月5日,2011年11月5日,37,1.618164063,rain snow,
383,2013年5月7日,2013年5月7日,120,1.768554688,downpour,
159,2011年9月4日,2011年9月4日,285,3.359375,rain,1.0
12,2010年11月18日,2010年11月18日,25,0.993652344,rain snow,
35,2010年12月7日,2010年12月7日,37,1.177734375,rain snow,
28,2010年12月3日,2010年12月3日,164,0.506835938,rain snow,
170,2011年10月7日,2011年10月7日,189,1.124023438,rain storm,
142,2011年7月27日,2011年7月27日,288,0.828125,storm downpour,
398,2013年6月1日,2013年6月1日,287,0.619140625,downpour,
342,2013年2月2日,2013年2月2日,26,3.146484375,rain snow,
221,2012年4月18日,2012年4月18日,28,2.66796875,rain snow,
95,2011年6月1日,2011年6月1日,288,1.321289063,storm downpour,
51,2011年1月19日,2011年1月19日,102,0.530273438,rain snow,
240,2012年5月29日,2012年5月29日,288,0.625,storm downpour,
484,2014年1月17日,2014年1月17日,150,1.850585938,rain snow,
378,2013年5月3日,2013年5月3日,288,1.137695313,storm downpour,
178,2011年10月25日,2011年10月25日,51,4.29296875,rain,
41,2010年12月21日,2010年12月21日,142,1.391601563,rain snow,
498,2014年2月9日,2014年2月9日,288,1.28125,rain downpour snow,
421,2013年7月18日,2013年7月18日,64,1.915039063,hail storm,
206,2012年1月21日,2012年1月21日,67,1.229492188,,
282,2012年7月15日,2012年7月15日,56,2.25390625,storm downpour,
254,2012年6月20日,2012年6月20日,93,0.500488281,downpour,
412,2013年6月28日,2013年6月28日,287,0.884277344,rain,
4,2010年11月7日,2010年11月7日,37,2.078125,rain snow,1.0
256,2012年6月22日,2012年6月22日,110,0.6640625,downpour,
448,2013年9月11日,2013年9月11日,81,0.76171875,rain,
100,2011年6月5日,2011年6月5日,247,2.51953125,downpour,1.0
226,2012年4月23日,2012年4月23日,25,1.153320313,rain,
429,2013年7月27日,2013年7月27日,288,0.655273438,storm,
213,2012年3月24日,2012年3月24日,101,0.815429688,storm downpour,
171,2011年10月10日,2011年10月10日,76,4.26171875,,
98,2011年6月4日,2011年6月4日,233,1.172851563,storm downpour,1.0
292,2012年7月29日,2012年7月29日,74,0.83984375,storm downpour,
215,2012年4月5日,2012年4月5日,288,1.6640625,rain snow,1.0
61,2011年3月3日,2011年3月3日,202,1.16796875,rain snow,
47,2010年12月25日,2010年12月25日,288,1.439453125,rain snow,
32,2010年12月6日,2010年12月6日,74,1.8984375,snow,
267,2012年7月9日,2012年7月9日,288,1.088867188,storm,
327,2012年11月5日,2012年11月5日,48,3.138671875,rain snow,
200,2011年12月16日,2011年12月16日,288,1.512695313,rain snow,1.0
446,2013年9月9日,2013年9月9日,288,0.854003906,rain downpour,
27,2010年12月3日,2010年12月3日,95,0.678710938,rain snow,
424,2013年7月21日,2013年7月21日,287,0.752929688,downpour,
230,2012年5月12日,2012年5月12日,288,0.815429688,hail storm downpour,
260,2012年7月2日,2012年7月2日,163,1.352539063,hail storm,1.0
288,2012年7月28日,2012年7月28日,74,2.41796875,storm downpour,
162,2011年9月12日,2011年9月12日,92,2.6015625,storm downpour,
425,2013年7月22日,2013年7月22日,126,3.126953125,hail storm,
138,2011年7月21日,2011年7月21日,131,1.21484375,storm downpour,
62,2011年3月13日,2011年3月13日,288,1.969726563,rain snow,
135,2011年7月18日,2011年7月18日,238,0.8828125,downpour,
128,2011年7月10日,2011年7月10日,288,1.358398438,rain storm,1.0
476,2013年11月20日,2013年11月20日,288,0.587402344,rain,
8,2010年11月15日,2010年11月15日,243,1.390625,rain snow,
326,2012年11月4日,2012年11月4日,27,4.6171875,rain snow,
463,2013年10月23日,2013年10月23日,198,4.9921875,rain snow,
64,2011年3月16日,2011年3月16日,163,4.4921875,rain snow,
300,2012年8月2日,2012年8月2日,27,1.313476563,storm downpour,
14,2010年11月19日,2010年11月19日,288,1.127929688,rain,1.0
156,2011年8月19日,2011年8月19日,84,1.059570313,storm,
40,2010年12月11日,2010年12月11日,103,1.720703125,,
379,2013年5月5日,2013年5月5日,288,1.55859375,storm downpour,
468,2013年11月4日,2013年11月4日,288,0.80859375,rain,
403,2013年6月9日,2013年6月9日,287,1.725585938,rain storm downpour,
216,2012年4月7日,2012年4月7日,288,1.012695313,storm downpour,
279,2012年7月15日,2012年7月15日,25,4.41796875,storm downpour,
434,2013年8月9日,2013年8月9日,288,2.619140625,storm,
430,2013年7月29日,2013年7月29日,288,2.5703125,storm downpour,
337,2012年11月28日,2012年11月28日,42,2.986328125,rain snow,
236,2012年5月22日,2012年5月22日,288,0.812011719,downpour,
207,2012年3月4日,2012年3月4日,211,1.284179688,rain snow,1.0
212,2012年3月24日,2012年3月24日,185,0.803222656,storm downpour,
295,2012年7月30日,2012年7月30日,64,2.123046875,storm downpour,
457,2013年10月9日,2013年10月9日,31,0.922363281,rain,
251,2012年6月18日,2012年6月18日,78,1.700195313,,
488,2014年1月26日,2014年1月26日,288,0.649414063,rain,
486,2014年1月19日,2014年1月19日,288,1.623046875,rain snow,
303,2012年8月3日,2012年8月3日,36,1.489257813,storm downpour,
350,2013年3月7日,2013年3月7日,42,0.835449219,rain,
269,2012年7月10日,2012年7月10日,52,3.306640625,storm downpour,1.0
201,2011年12月22日,2011年12月22日,288,0.844726563,rain,
161,2011年9月5日,2011年9月5日,102,2.26171875,downpour,1.0
43,2010年12月22日,2010年12月22日,219,1.639648438,rain snow,
217,2012年4月11日,2012年4月11日,187,2.87890625,rain snow,1.0
401,2013年6月7日,2013年6月7日,287,0.596191406,storm downpour,
190,2011年11月6日,2011年11月6日,60,3.798828125,rain snow,
309,2012年8月9日,2012年8月9日,32,2.76171875,downpour,
259,2012年6月25日,2012年6月25日,286,0.814941406,downpour,
105,2011年6月8日,2011年6月8日,31,2.521484375,rain storm downpour,1.0
53,2011年2月16日,2011年2月16日,36,2.095703125,rain snow,
389,2013年5月17日,2013年5月17日,91,3.24609375,rain downpour,
1,2010年11月1日,2010年11月1日,122,3.693359375,rain snow,1.0
441,2013年8月26日,2013年8月26日,288,1.118164063,rain downpour,
482,2013年12月26日,2013年12月26日,256,4.5703125,rain snow,
49,2011年1月11日,2011年1月11日,200,0.591796875,rain,
419,2013年7月13日,2013年7月13日,287,1.145507813,storm downpour,
80,2011年4月29日,2011年4月29日,156,1.513671875,downpour,
205,2012年1月20日,2012年1月20日,123,1.147460938,rain snow,
34,2010年12月7日,2010年12月7日,249,0.502929688,rain snow,
263,2012年7月3日,2012年7月3日,90,1.202148438,storm downpour,
427,2013年7月24日,2013年7月24日,180,2.125,storm downpour,
366,2013年4月19日,2013年4月19日,288,2.138671875,rain storm downpour,
91,2011年5月26日,2011年5月26日,288,0.85546875,storm downpour,
339,2012年11月30日,2012年11月30日,145,0.552734375,rain,
473,2013年11月15日,2013年11月15日,110,2.837890625,rain snow,
52,2011年2月15日,2011年2月15日,59,2.443359375,rain snow,
345,2013年2月12日,2013年2月12日,32,0.850097656,snow,
264,2012年7月4日,2012年7月4日,288,0.987792969,downpour,
241,2012年5月31日,2012年5月31日,288,0.501953125,downpour,
13,2010年11月18日,2010年11月18日,261,1.309570313,rain snow,
315,2012年8月16日,2012年8月16日,49,2.8515625,storm downpour,
88,2011年5月20日,2011年5月20日,288,1.223632813,storm downpour,
387,2013年5月16日,2013年5月16日,26,7.60546875,rain,
273,2012年7月13日,2012年7月13日,52,5.578125,storm downpour,
166,2011年9月18日,2011年9月18日,233,5.59375,rain snow,1.0
328,2012年11月5日,2012年11月5日,75,1.334960938,rain snow,
492,2014年2月1日,2014年2月1日,260,1.766601563,rain snow,
134,2011年7月18日,2011年7月18日,49,2.701171875,downpour,
306,2012年8月5日,2012年8月5日,37,3.0,storm downpour,
480,2013年11月24日,2013年11月24日,288,0.592773438,rain snow,
319,2012年9月29日,2012年9月29日,39,5.078125,rain snow,
243,2012年6月8日,2012年6月8日,288,1.408203125,downpour,1.0
54,2011年2月16日,2011年2月16日,180,1.94921875,rain snow,
363,2013年3月28日,2013年3月28日,173,2.98828125,rain snow,
50,2011年1月13日,2011年1月13日,120,1.61328125,,
456,2013年10月8日,2013年10月8日,288,0.62890625,rain,
174,2011年10月20日,2011年10月20日,32,5.07421875,rain snow,1.0
445,2013年9月8日,2013年9月8日,288,0.583496094,downpour,
189,2011年11月6日,2011年11月6日,69,2.71484375,rain snow,
496,2014年2月7日,2014年2月7日,288,1.751953125,rain snow,
187,2011年11月5日,2011年11月5日,135,1.125,rain snow,
169,2011年10月7日,2011年10月7日,57,7.19140625,rain storm,
58,2011年2月27日,2011年2月27日,288,1.578125,rain snow,
48,2011年1月10日,2011年1月10日,288,1.383789063,rain snow,
344,2013年2月11日,2013年2月11日,25,2.478515625,snow,
235,2012年5月21日,2012年5月21日,288,3.9453125,rain snow,1.0
252,2012年6月19日,2012年6月19日,77,0.5234375,downpour,
21,2010年11月28日,2010年11月28日,231,2.462890625,rain snow,
313,2012年8月14日,2012年8月14日,32,1.938476563,storm downpour,
459,2013年10月10日,2013年10月10日,288,2.869140625,rain storm snow,
160,2011年9月5日,2011年9月5日,117,2.16015625,downpour,1.0
276,2012年7月14日,2012年7月14日,78,0.918945313,storm downpour,
443,2013年8月28日,2013年8月28日,288,0.533691406,downpour,
191,2011年11月7日,2011年11月7日,109,1.78515625,rain snow,
385,2013年5月11日,2013年5月11日,288,1.6875,rain,
293,2012年7月29日,2012年7月29日,48,1.670898438,storm downpour,
413,2013年7月2日,2013年7月2日,171,0.762207031,storm downpour,
343,2013年2月11日,2013年2月11日,25,2.8671875,snow,
257,2012年6月22日,2012年6月22日,124,0.795898438,downpour,
308,2012年8月5日,2012年8月5日,32,1.3671875,storm downpour,
149,2011年8月6日,2011年8月6日,288,1.30078125,,
130,2011年7月13日,2011年7月13日,64,5.55859375,storm downpour,1.0
151,2011年8月7日,2011年8月7日,170,2.771484375,rain,
359,2013年3月20日,2013年3月20日,185,0.916992188,rain snow,
99,2011年6月4日,2011年6月4日,54,3.560546875,storm downpour,1.0
372,2013年4月27日,2013年4月27日,288,2.626953125,rain snow,
87,2011年5月15日,2011年5月15日,288,3.78125,rain,1.0
458,2013年10月9日,2013年10月9日,137,0.992675781,rain,
330,2012年11月10日,2012年11月10日,152,2.15625,rain snow,
214,2012年4月4日,2012年4月4日,288,1.12890625,rain snow,
466,2013年10月30日,2013年10月30日,288,1.53515625,rain downpour snow,
121,2011年6月29日,2011年6月29日,86,3.60546875,storm downpour,
499,2014年2月10日,2014年2月10日,288,2.306640625,rain snow,
20,2010年11月28日,2010年11月28日,55,1.668945313,rain snow,
188,2011年11月6日,2011年11月6日,157,0.87890625,rain snow,
71,2011年4月13日,2011年4月13日,110,0.736816406,downpour,
106,2011年6月8日,2011年6月8日,131,2.0859375,rain storm downpour,1.0
270,2012年7月11日,2012年7月11日,67,2.869140625,storm,
348,2013年3月7日,2013年3月7日,37,0.887695313,rain,
435,2013年8月13日,2013年8月13日,288,0.732421875,storm downpour,
102,2011年6月6日,2011年6月6日,124,1.37890625,storm downpour,1.0
